No.;Common Name;Scientific Name;Abundance;Status
Family Anatidae;;;;
1;Wandering Whistling Duck;Dendrocygna arcuata;U;I? RB
2;Lesser Whistling Duck ##;Dendrocygna javanica;U;RB
3;Cotton Pygmy Goose ##;Nettapus coromandelianus;R;R(B)
4;Gadwall;Anas strepera;R;ACC
5;Eurasian Wigeon;Anas penelope;R;ACC
6;Northern Shoveler;Anas clypeata;R;WV
7;Northern Pintail;Anas acuta;R;WV
8;Garganey;Anas querquedula;R;WV
9;Eurasian Teal;Anas crecca;R;WV
10;Tufted Duck;Aythya fuligula;R;ACC
Family Phasianidae;;;;
11;King Quail;Excalfactoria chinensis;U;RB
12;Red Junglefowl ##;Gallus gallus;U;RB
Family Hydrobatidae;;;;
13;Swinhoe's Storm Petrel *;Oceanodroma monorhis;U;PM
Family Procellariidae;;;;
14;Short-tailed Shearwater;Puffinus tenuirostris;R;ACC
Family Podicipedidae;;;;
15;Little Grebe ##;Tachybaptus ruficollis;R;RB
Family Ciconiidae;;;;
16;Asian Openbill;Anastomus oscitans;R;NBV
17;Lesser Adjutant **;Leptoptilos javanicus;R;NBV
Family Threskiornithidae;;;;
18;Glossy Ibis;Plegadis falcinellus;R;ACC
Family Ardeidae;;;;
19;Yellow Bittern;Ixobrychus sinensis;C;RB WV
20;Von Schrenck's Bittern;Ixobrychus eurhythmus;U;WV
21;Cinnamon Bittern;Ixobrychus cinnamomeus;U;RB WV
22;Black Bittern;Dupetor flavicollis;U;PM WV
23;Malayan Night Heron;Gorsachius melanolophus;R;WV PM
24;Black-crowned Night Heron ##;Nycticorax nycticorax;U;RB
25;Striated Heron;Butorides striata;C;RB WV
26;Indian Pond Heron;Ardeola grayii;R;ACC
27;Chinese Pond Heron;Ardeola bacchus;C;WV
28;Javan Pond Heron;Ardeola speciosa;U;WV
29;Eastern Cattle Egret;Bubulcus coromandus;C;IR(B) WV
30;Grey Heron ##;Ardea cinerea;U;RB
31;Great-billed Heron ##;Ardea sumatrana;U;RB
32;Purple Heron ##;Ardea purpurea;U;RB
33;Great Egret;Ardea alba;C;WV
34;Intermediate Egret;Egretta intermedia;U;WV
35;Little Egret;Egretta garzetta;C;WV
36;Pacific Reef Heron;Egretta sacra;U;R(B)
37;Chinese Egret **;Egretta eulophotes;R;WV
Family Fregatidae;;;;
38;Christmas Frigatebird **;Fregata andrewsi;R;NBV
39;Lesser Frigatebird;Fregata ariel;R;NBV
Family Sulidae;;;;
40;Red-footed Booby;Sula sula;R;NBV
41;Brown Booby;Sula leucogaster;R;NBV
Family Anhingidae;;;;
42;Oriental Darter *;Anhinga melanogaster;R;NBV
Family Pandionidae;;;;
43;Western Osprey;Pandion haliaetus;C;NBV
Family Accipitridae;;;;
44;Black-winged Kite;Elanus caeruleus;U;RB
45;Crested Honey Buzzard;Pernis ptilorhynchus;C;PM WV NBV
46;Jerdon's Baza;Aviceda jerdoni;U;WV
47;Black Baza;Aviceda leuphotes;C;PM WV
48;Himalayan Vulture *;Gyps himalayensis;R;ACC
49;Crested Serpent Eagle ##;Spilornis cheela;R;R(B)
50;Short-toed Snake Eagle;Circaetus gallicus;R;PM
51;Bat Hawk;Macheiramphus alcinus;R;NBV
52;Changeable Hawk-Eagle ##;Nisaetus cirrhatus;U;RB
53;Blyth's Hawk-Eagle;Nisaetus alboniger;R;NBV
54;Rufous-bellied Hawk-Eagle;Lophotriorchis kienerii;R;WV
55;Greater Spotted Eagle **;Clanga clanga;R;WV
56;Booted Eagle;Hieraaetus pennatus;U;WV
57;Steppe Eagle;Aquila nipalensis;R;ACC
58;Eastern Imperial Eagle **;Aquila heliaca;R;ACC
59;Crested Goshawk ##;Accipiter trivirgatus;U;RB
60;Chinese Sparrowhawk;Accipiter soloensis;U;PM WV
61;Japanese Sparrowhawk;Accipiter gularis;C;PM WV
62;Besra;Accipiter virgatus;R;PM
63;Eurasian Sparrowhawk;Accipiter nisus;R;ACC
64;Western Marsh Harrier;Circus aeruginosus;R;ACC
65;Eastern Marsh Harrier;Circus spilonotus;U;WV
66;Hen Harrier;Circus cyaneus;R;WV
67;Pied Harrier;Circus melanoleucos;R;WV
68;Black Kite;Milvus migrans;R;WV
69;Brahminy Kite;Haliastur indus;C;RB
70;White-bellied Sea Eagle;Haliaeetus leucogaster;C;RB
71;Grey-headed Fish Eagle ##*;Haliaeetus ichthyaetus;U;RB
72;Grey-faced Buzzard;Butastur indicus;U;WV
73;Common Buzzard;Buteo buteo;U;WV
Family Heliornithidae;;;;
74;Masked Finfoot **;Heliopais personata;R;ACC
Family Rallidae;;;;
75;Red-legged Crake ##;Rallina fasciata;U;RB WV
76;Slaty-legged Crake;Rallina eurizonoides;R;WV PM
77;Slaty-breasted Rail;Gallirallus striatus;U;RB
78;White-breasted Waterhen;Amaurornis phoenicurus;C;RB WV
79;Baillon's Crake;Porzana pusilla;U;WV PM
80;Ruddy-breasted Crake #;Porzana fusca;U;RB WV
81;Band-bellied Crake *;Porzana paykullii;R;ACC
82;White-browed Crake;Porzana cinerea;U;RB
83;Watercock;Gallicrex cinerea;U;WV
84;Black-backed Swamphen #;Porphyrio indicus;U;RB
85;Common Moorhen;Gallinula chloropus;U;RB
86;Eurasian Coot;Fulica atra;R;ACC
Family Turnicidae;;;;
