id,species,source,url,common_name,abundance,status,family,notes
ixobrychus_sinensis_00000,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/yellow_bittern_juv.jpg?itok=qRBXtzib,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00001,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/sx50_69697.jpg?itok=MpYIe2Do,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00002,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/sx50_57302.jpg?itok=RPi3LLtx,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00003,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/812_20180217_2_1000.jpg?itok=cJVNBODu,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00004,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/812_20180217_3_1000.jpg?itok=5Omh7iq8,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00005,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/812_20180217_1_1000.jpg?itok=ol_9yoKw,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00006,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/dsc_6989p.jpg?itok=N3nZfMJT,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00007,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/luz_7262.jpg?itok=t_4Ok7K_,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00008,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/dsc_6769.jpg?itok=gvjcXCzo,Yellow Bittern,C,RB WV,Ardeidae,-
ixobrychus_sinensis_00009,ixobrychus sinensis,ibc,https://www.hbw.com/sites/default/files/styles/ibc_1k/public/ibc/p/yellow_bittern_10_1.jpg?itok=xoUyc-wU,Yellow Bittern,C,RB WV,Ardeidae,-
